Company Name,State_Abbr,Exec.tiTle,INDUSTRY,EmployEEs
Company 470,TX,Finance Executive,Computer Software,11-25 employees
Company 471,TX,"Owner, President",Computer Software,11-25 employees
Company 472,DC,Owner,Business Services,11-25 employees
Company 473,TN,Finance Executive,Business Services,26-50 employees
Company 474,NJ,Chief Executive Officer,Telecommunications Services,11-25 employees
Company 475,NV,Owner,Business Services,26-50 employees
Company 476,NJ,Owner,Business Services,11-25 employees
Company 477,TX,Finance Executive,Business Services,26-50 employees
Company 478,WA,"Owner, President, Finance Executive",Business Services,26-50 employees
Company 479,CT,Chief Financial Officer,Media,51-100 employees
Company 480,NJ,Finance,Media,51-100 employees
Company 481,NJ,Chief Executive Officer,Media,51-100 employees
Company 482,NC,Finance Executive,Business Services,26-50 employees
Company 483,NC,Financial Advisor,Business Services,26-50 employees
Company 484,NC,Owner,Business Services,26-50 employees
Company 485,KS,"Chief Operating Officer, Owner",Telecommunications Services,26-50 employees
Company 486,MD,Ceo,Telecommunications Services,51-100 employees
Company 487,MD,Finance Manager,Telecommunications Services,51-100 employees
Company 488,TX,Finance Executive,Business Services,11-25 employees
Company 489,GA,Chief Financial Officer,Business Services,11-25 employees
Company 490,GA,"President, Chief Executive Officer",Business Services,11-25 employees
Company 491,CA,Chief Executive Officer,Entertainment,11-25 employees
Company 492,CA,Chief Financial Officer,Media,26-50 employees
Company 493,CA,Director of Finance and Budgeting,Media,26-50 employees
Company 494,OR,Chief Executive Officer,Consumer Services,51-100 employees
Company 495,CA,Chief Executive Officer,Business Services,11-25 employees
Company 496,CA,CEO Adapt International,Business Services,11-25 employees
Company 497,WA,Owner,Business Services,11-25 employees
Company 498,VA,Chief Financial Officer,Business Services,51-100 employees
Company 499,NH,finance associate,Computer Services,11-25 employees
Company 500,NH,Director Of Financial Operations,Computer Services,11-25 employees
